,channel_1,channel_2,alpha,beta,gamma
0,0,0,0.0,0.0,0.0
1,0,1,-0.04276950485035659,-0.08088000587587568,-0.09465856443517086
2,0,2,-0.024172128989842893,-0.05973219106377866,-0.04216590776951255
3,0,3,-0.5739251234590662,-0.38851210633705835,-0.29801268955844945
4,0,4,-0.3235053835491641,-0.20074870546591722,-0.10667093169510691
5,0,5,-0.48926978940068155,0.2847675747050956,-0.6170743187315584
6,0,6,-0.6449000543985859,-0.018522110592493587,0.1761343003797683
7,0,7,0.15473977916312126,0.4310061782830582,0.5934126884563332
8,0,8,-1.0448589134486506,-1.0780294910956292,-1.2081545395957225
9,0,9,-0.9819071666180511,-0.9283485713652545,-0.900574102348561
10,0,10,0.27092249626304094,0.008022828724832582,-0.5281089532242932
11,0,11,0.315778086898058,0.7838050317558333,0.058453356413171585
12,0,12,-1.5714593021172205,-1.0951475145084228,0.44781704617549445
13,0,13,0.2542366425094497,0.31417561877528566,0.3542193940793512
14,0,14,-1.1496325248661432,-0.7056514475176237,-0.6673842793249981
15,0,15,-0.8895335748882293,-0.6410934405123345,-0.5792176504770232
16,0,16,1.396502182501941,0.8695836765618122,-0.39339175667550275
17,0,17,-2.0821062403201833,-1.8742639415925366,-0.7117515798026663
18,0,18,1.3544509438988588,0.6201179730834343,-0.508239459863511
19,0,19,-0.3691292654312998,-0.26342222684809985,-0.46525392763019907
20,0,20,-0.8846970593563895,-0.4084093079428046,-0.23357949769892988
21,0,21,-0.7393644557203188,-0.5639435708381559,-0.2994571451181457
22,0,22,-0.13767283460236612,0.13271296612530456,0.628469281901162
23,0,23,-2.120134110265415,-1.833137559282992,-0.5170289757322589
24,0,24,0.1425822159870816,0.004369539954976898,9.37686799376341e-05
25,0,25,-0.5047298348821312,-0.24328992407648617,-0.25386588684883304
26,0,26,-1.3917544255117955,-0.3037179244085362,0.0007310676804771722
27,0,27,-0.30788956118372957,0.106305769805837,0.21728953318042857
28,0,28,0.8025029457410284,1.168710677730647,0.8025526345433047
29,0,29,-0.07817621018300938,-0.09468757603094269,-0.10460129422688662
30,0,30,0.0450908216747891,0.010253106702149064,-0.06257034047525213
31,0,31,-0.8328020878045826,0.037746459506671,0.03706160427398502
32,0,32,0.1848238232882466,-0.4035469664262173,0.233206708978852
33,0,33,-1.0550576239976837,0.11559680130554462,-0.12655472982926666
34,0,34,0.19879063196726307,-0.32487181881430716,-0.8013762211619486
35,0,35,-0.5951658543870816,0.07472393270975311,0.22131800449276925
36,0,36,0.2946283280390381,-0.07081183277504949,-0.923906355039324
37,0,37,-0.2011712192139026,0.08077430965822588,-0.23267746290858146
38,0,38,-0.002755385807581588,-0.13321923846008388,-0.1872680426441129
39,0,39,-0.18762631609816746,-0.25594101685002946,-0.2244485758433531
40,0,40,-0.6404663102541677,0.2147587511474856,-0.29745353537388175
41,0,41,-0.055212203263886594,-0.11811871666881942,-0.03317340681976057
42,0,42,0.5627410447915558,0.251227871782317,-0.6395357244726653
43,0,43,0.6895229160860245,-0.21834820860731918,-0.463869708803352
44,0,44,-0.23424887933950567,-0.21569345447619664,-0.7551527818505757
45,0,45,1.1270578414089951,0.1743034513598867,-0.30458679743289696
46,0,46,0.05136742447324527,0.004107876809054749,-0.16719203088230297
47,0,47,0.37058700113549964,-0.8770263344385679,-0.4830595090345057
48,0,48,0.39365520711210134,0.7926505312210463,-0.09673051546948205
49,0,49,-0.181431335925022,0.1283549669157033,-0.15264749560004515
50,0,50,0.8452489941454832,-0.031850680681093056,-0.9407833910949576
51,0,51,1.3248708032254102,-0.14674496540215928,-0.030415056086109803
52,0,52,0.13877654307958995,-0.7188197379316738,-0.5281407271345717
53,0,53,-0.615561528951545,-0.32689562705282244,0.05950821564771053
54,0,54,0.5158265288680887,-0.6937386956880688,-0.3707178757115626
55,0,55,0.4065765327829157,0.28695845972301165,-0.9708710933643583
56,0,56,0.5906356444458726,0.1515874381900259,-0.3993656064920679
57,0,57,-0.52643512032958,-0.4321343628215181,0.0550198835300966
58,0,58,-0.8179814006993602,-0.29794819433118364,0.20488650335035727
59,0,59,-0.01857250845999546,-0.17855987147320568,-0.019435333368473532
60,0,60,-0.7118103660532324,0.15377545875903728,-0.0042840156475776724
61,0,61,0.20343701394132363,0.21793554723708036,0.27112174524410027
62,1,0,-0.04276950485035659,-0.08088000587587568,-0.09465856443517086
63,1,1,0.0,0.0,0.0
64,1,2,-0.7985927005664347,-0.5173023750639661,-0.5823330799073937
65,1,3,-0.007231100328889383,0.09954892438951522,0.22985508755311132
66,1,4,-0.01686106489819229,-0.6604388122972493,-0.6930934614770489
67,1,5,-0.4175135094590651,-0.4622274939461439,-0.3384038252569189
68,1,6,-0.2967927552835329,-0.2391636510529,-0.5375568471143272
69,1,7,-0.6687074246831014,-0.3896183439059572,0.15991446798632017
70,1,8,-0.7332239105364652,-0.8103117906402005,-0.622174040593112
71,1,9,-0.35580506149754565,-0.22986396122604344,-0.3142751767564923
72,1,10,-0.6226232203346869,-0.10384019746028017,0.054052690466864894
73,1,11,0.5229248976909611,0.052196291489875535,-0.5015181660297243
74,1,12,-0.7549275089475287,-1.343568184444678,0.7830514248631553
75,1,13,0.4986050196689637,0.4985714946518981,0.7715997775431668
76,1,14,-1.5458462883906552,-0.8759595841221899,-0.6806496098030126
77,1,15,-0.7229539752707054,-0.5451148678969486,-0.18548647032140583
78,1,16,0.980746370284424,0.39490651115193215,-0.25071439040687193
79,1,17,-1.29255715706882,-1.0347523354905959,-0.49469298913687687
80,1,18,1.544585192910113,1.3317482783534407,0.870973680211935
81,1,19,-0.3055294335724972,-0.37755664393450183,-0.4843274555136028
82,1,20,-1.0794667090823673,-0.6112481834585443,-0.2719265647178397
83,1,21,-0.7893976400097528,-0.884198741753521,-0.6552180454729544
84,1,22,-0.37622830873413005,-0.5727816162102078,-0.8645338689311467
85,1,23,-0.5853822123799295,-0.36855598734888334,-0.4206554340701044
86,1,24,0.22483672204546407,0.035210300630136256,-0.0345639635358685
87,1,25,-0.2909166551155463,-0.28484150979721273,-0.2936086668085763
88,1,26,-1.3031057371481498,-0.6280378650896152,-0.2762944032863626
89,1,27,-0.46920729413670376,-0.2656822564184948,-0.041996962508849656
90,1,28,0.33773656006062935,1.068291256703358,1.0960568793083942
91,1,29,0.017115305577301718,-0.1296239363822713,-0.19527536681193733
92,1,30,0.1773869666411708,-0.042302706840653535,-0.18304250877557587
93,1,31,-0.5360626901501755,0.1928816756704304,-0.23834550695745924
94,1,32,-0.009137273947607282,0.8424737684828771,-0.20192924961406455
95,1,33,-0.9337181299104115,0.429742235297312,-0.02342289942855169
96,1,34,0.15000652438410006,0.14088537561260966,-0.37442455371660055
97,1,35,-0.681872004808008,-0.44519226918306165,-0.28948099946399636
98,1,36,0.1455986227862597,-0.11326660851626374,-0.8377976263601576
99,1,37,-0.09112558521944161,-0.13685759783194465,-0.5354762753783133
100,1,38,-1.0679840246156578,0.422157998357525,0.19214469287508648
101,1,39,-0.40628270431077823,-0.075461407881424,-0.47625274920726957
102,1,40,-0.7281110610245002,-0.060923993612187304,0.1962337589721233
103,1,41,-0.15940265714947188,-0.98504267436344,-0.2564594363926674
104,1,42,0.2776640405168229,0.4183902658247817,-1.0360026358031134
105,1,43,1.3092977397480814,0.10857826050586344,-0.359706097945323
106,1,44,-0.6609492096786611,0.4393482562259718,0.07241745600841651
107,1,45,1.1236548128096273,-0.46421104767192084,-0.5771877583174587
108,1,46,-0.5010969873429488,-0.1743748626192025,-0.5520198730040407
109,1,47,1.0265740816997462,0.1776597429421892,-0.026461571007255512
110,1,48,0.09043917923892193,0.55099538845543,-0.047975903514759596
111,1,49,0.3913476607428641,0.35133134983675557,0.06365914339434675
112,1,50,0.9416649148255436,0.5172732622296979,-0.47947406178951135
113,1,51,1.1930972250083924,-0.3521524004219799,-0.5339109510213008
114,1,52,-0.05901437229015436,0.19170171071900297,-0.21289461196905643
115,1,53,0.015879170496700516,0.26774290513480015,-0.1543303441986689
116,1,54,-0.2774184616288815,-0.004853567469773029,-0.5344889673418726
117,1,55,0.8401391344487519,0.16028604872586244,-0.2938114317501169
118,1,56,0.23027231723748942,0.05936036086278295,-0.8032667558509148
119,1,57,-1.2201945622025754,-0.03364798548688096,-0.4375577234745555
120,1,58,-0.495769554844004,0.10183596422174275,-0.293812270664422
121,1,59,0.33170385445939954,-0.005682760784330111,-0.7826736943794954
122,1,60,-0.6598854700230473,-0.06515952482234956,-0.26877880347512023
123,1,61,-0.19207993013863245,0.10930341741431766,-0.48145973419281596
124,2,0,-0.024172128989842893,-0.05973219106377866,-0.04216590776951255
125,2,1,-0.7985927005664347,-0.5173023750639661,-0.5823330799073937
126,2,2,0.0,0.0,0.0
127,2,3,-1.4246578608977052,-0.8405418071357176,-1.1408097721205306
128,2,4,-1.626738539504319,-1.6422414562611953,-1.4230290051933292
129,2,5,0.682927772223312,0.4145200051998356,-0.6558022967023291
130,2,6,0.19187555630280578,0.1305359284372504,-0.23184515681348525
131,2,7,0.048193199853328754,0.21316696296443874,0.2125443203006318
132,2,8,-0.5609878605748292,-0.34463689189791186,-0.4019252281666318
133,2,9,-0.644749332799279,-0.7043220794669206,-0.8054224755446219
134,2,10,0.7810346557815716,1.18158069024486,1.1653895620355696
135,2,11,0.3732201970983719,0.021779034691372687,-0.8894531490922428
136,2,12,-0.5100515149928687,-1.3430811487203351,-0.9738166815105164
137,2,13,-0.17589229825028999,-0.02777341549549867,-0.08113299985271245
138,2,14,1.3517996291275989,2.598539765465882,1.357269875706955
139,2,15,0.14410631389187373,0.2290696028510011,-0.06369124312725591
140,2,16,0.03744317446304406,-0.177134348132167,-0.6823657387115686
141,2,17,-0.2865659085533254,-0.20715596340553666,-0.4815816668339893
142,2,18,-0.3411048273020579,0.4083577403661602,0.5122860311368725
143,2,19,2.2351005511724105,1.8154703861375778,1.2739475630958967
144,2,20,-0.17226208821366892,0.20294982459022923,0.31499907169622926
145,2,21,-0.023624907385394495,0.0038995132769798556,-0.10510105000031204
146,2,22,0.1563560257333486,0.11412960565750939,0.01509570895356255
147,2,23,-0.03027956327604055,0.23064565667241313,1.0881455417674764
148,2,24,0.4918760292855524,0.39346615482111613,0.6586372794287632
149,2,25,-0.8177581688636076,-0.055279467503141416,0.095472447656868
150,2,26,-0.6156768222726345,-0.17463662374905842,0.00335529429080033
151,2,27,-0.27481129562598156,-0.07299981325387522,7.241656698020118e-06
152,2,28,-0.7871640866721342,-0.7322969838253951,-0.39233665420622943
153,2,29,-0.648676976924,-0.3435824725231802,-0.1287621561457429
154,2,30,-0.43830374750956547,-0.3662258500293315,-0.34020892965256255
155,2,31,-1.012421094363192,-0.5544711046393612,0.08325579918737303
156,2,32,0.22228853554807082,0.22648710568219865,-0.0005334829316200432
157,2,33,-0.6240796969493566,-0.5178216694379484,-0.5746413103768812
158,2,34,0.6167573644618213,0.2749106961962575,-0.3686531270455181
159,2,35,-0.40938369459454116,-0.08018780867152177,0.08339110138026849
160,2,36,0.534363310335578,0.2948527091245877,-0.5590259716511096
161,2,37,-0.13095542344406136,0.17315886192696905,-0.12818401316978006
162,2,38,-0.9164288850746768,-0.6406920261861798,-0.42990693773902344
163,2,39,0.018543254589289997,-0.24870910859014134,-0.6096159998711843
164,2,40,-0.6298028270647922,-0.3345300668416641,-0.4334601385532488
165,2,41,-0.5053424334957123,0.2964062171217381,0.04237562173808021
166,2,42,-0.20546867170662933,0.0360233314380628,-0.5878631084166274
167,2,43,-0.3181351549594013,-0.1071973823074968,-0.5265322159582925
168,2,44,0.48077421421369915,0.03560077445460912,-0.4934419691122606
169,2,45,-0.041043524783206546,-0.5861595976603176,-0.6019742728829796
170,2,46,0.5428391177105595,0.28814639051791124,-0.4033059576279716
171,2,47,-0.22513326307250625,-0.776898259966257,-0.2793085677979213
172,2,48,-0.23244028925773477,0.5051574934959988,-0.3812632438092043
173,2,49,-0.811602887765091,-0.04934123397449882,0.1273855055820315
174,2,50,0.15548112813174486,0.013244675627080878,-0.28828801744648175
175,2,51,0.8845141834903759,-0.2575244013672047,-0.8439657922247137
176,2,52,0.14126364604365743,-0.3761392676453576,-0.27773309249039885
177,2,53,-0.8862314740961977,-0.22307470583966604,-0.16710207506356212
178,2,54,0.4508301158244032,-0.008970415732084224,0.13429494741554418
179,2,55,0.2627628744832012,-0.030477796218965455,-0.4561001592692892
180,2,56,0.35174892996690527,-0.16922941903248134,-0.5362124059977363
181,2,57,-0.02340025483268606,-0.4229982760271044,-0.4899552836535451
182,2,58,-1.0734621959447044,-0.08488412851869565,-0.08875810101014742
183,2,59,-0.04434364522613514,0.11381092569180341,0.21987142796297257
184,2,60,0.3163512600472946,0.1558043686271484,-0.08811079847691076
185,2,61,-0.15987456405405662,0.20495396099178642,-0.1778954124090122
186,3,0,-0.5739251234590662,-0.38851210633705835,-0.29801268955844945
187,3,1,-0.007231100328889383,0.09954892438951522,0.22985508755311132
188,3,2,-1.4246578608977052,-0.8405418071357176,-1.1408097721205306
189,3,3,0.0,0.0,0.0
190,3,4,0.28949204434088993,0.4658449208682231,0.34372956823031603
191,3,5,-2.4000447071935898,-0.37632660929732914,1.112319449284825
192,3,6,-0.9142924444652777,-0.28558346636636417,0.5274335534285223
193,3,7,-1.089025162660314,-0.26361539627738906,-0.07014813847538685
194,3,8,-0.07861945191594857,-0.09160470571966661,-0.05327231843294521
195,3,9,0.3158626939174499,0.05646289628980965,-0.04128103448328366
196,3,10,-0.5252340194806089,0.006376041093658081,0.3283751392000718
197,3,11,-0.9533087951149852,0.12344391525714836,0.9278852674743712
198,3,12,-0.2864103716679814,-0.6304413309500089,-0.10032679895240905
199,3,13,-0.43437244557957533,-0.024815641029834506,1.258732266222948
200,3,14,-0.4598749552995134,-0.25187812341482063,-0.05838021678700649
201,3,15,-1.3317549428624031,-0.36528196559441783,0.27620888135710553
202,3,16,0.0065842554573983525,0.46097025883468595,1.1318413385832717
203,3,17,-0.23866122579540255,-0.2623292169209879,-0.13759814944059154
204,3,18,-0.14508696281931893,-0.3805758938188387,0.6190971415466068
205,3,19,-0.07212322464807493,-0.14549414512022568,-0.15915547165379482
206,3,20,-0.2813912249871808,-0.19051929531674885,0.011831323534589322
207,3,21,-0.9949272656886033,-0.0989918533237314,0.280321534679901
208,3,22,-0.45575201923896036,0.03840108080788397,0.3963957627809437
209,3,23,-0.8873483121169649,-0.7463970492815775,-0.1876412288781071
210,3,24,-0.043879252469326044,-0.1212758348049907,-0.04681842604514631
211,3,25,-0.12374135755232438,-0.149802108541771,-0.09518872073655964
212,3,26,-0.27837793961333995,-0.202537744624479,-0.03798595043046699
213,3,27,-0.07729263820881582,0.4000399327156706,0.43829531234541436
214,3,28,-1.2287417253172326,-1.4450549978164253,-0.6741203049177671
215,3,29,-0.0968567347377698,-0.1429062585365752,-0.18742273151438704
216,3,30,0.2377510287964492,0.05419220409413484,-0.14300529029792228
217,3,31,-0.36135340919600645,0.30609507035864175,-0.3199344648584943
218,3,32,-0.42303040498507766,-0.04243933245652615,-0.837998566546397
219,3,33,-0.6830615066991254,0.3441441653738544,-0.6878170412294047
220,3,34,-0.23639264716152883,-0.1426479085946092,-0.255570471120143
221,3,35,-0.20223330019922497,0.017842453350661133,-0.30200195034712757
222,3,36,0.632906489418349,-0.027484779995747742,-0.9770406152339329
223,3,37,0.39458473949742917,0.10958601248316682,-0.9002337565536899
224,3,38,-0.832611507495333,-0.13633534304116893,0.05731770172022649
225,3,39,0.1397194150584447,-0.32002179895712635,-0.7739419716622405
226,3,40,-1.4888153543469325,-0.12575636364745318,-0.43015856347782383
227,3,41,0.5220748869718168,0.08641490472136375,-0.25338231409955836
228,3,42,0.6267945615804177,0.12570430208344288,-0.7946350776925201
229,3,43,0.40890961642900386,0.39854879747040634,-0.5797397045445728
230,3,44,-0.9794174408124658,-0.17090962854493308,-0.29796499990964426
231,3,45,-0.7619680467283073,-0.3828652194888707,-0.7650257743934383
232,3,46,-0.41368046409440007,0.4296099205832044,-0.6760200429425359
233,3,47,-0.569688979677917,-0.12899810655678465,-0.3903207705531429
234,3,48,-0.3193499237077023,-0.4913064888889342,-0.41722431771563145
235,3,49,0.013058223763441613,0.06670503575986998,0.1935431622922224
236,3,50,-0.16870204030601102,-0.10428978759812979,-1.1166072701094283
237,3,51,0.022715934242336942,-0.5352328742106833,-0.7858895314468144
238,3,52,-0.583687143692394,0.1011597255828863,-0.5424578727070078
239,3,53,-0.5500078052821532,-0.059547508526846336,-0.5973066865022328
240,3,54,-0.5815858440485485,0.6317580721253432,-0.17749045403581948
241,3,55,0.04254836165068552,0.43720217698816255,-0.49606601727066635
242,3,56,0.3015921060754624,-0.300691953920377,-0.8852992496407509
243,3,57,-1.145413702726969,-0.3491216401559122,-0.5109165293462703
244,3,58,-1.2066006130579547,-0.35929512539757763,-0.28105980141139664
245,3,59,0.07444868930316646,0.7426908754226798,-0.5174786244383888
246,3,60,-0.7514558816316831,-0.19891082008190258,-0.28225122511025563
247,3,61,-0.9829632138664072,-0.25245220890223957,0.05716839415067357
248,4,0,-0.3235053835491641,-0.20074870546591722,-0.10667093169510691
249,4,1,-0.01686106489819229,-0.6604388122972493,-0.6930934614770489
250,4,2,-1.626738539504319,-1.6422414562611953,-1.4230290051933292
251,4,3,0.28949204434088993,0.4658449208682231,0.34372956823031603
252,4,4,0.0,0.0,0.0
253,4,5,0.505210594726718,1.323873968780602,1.0208307232425204
254,4,6,-0.0052584198781603355,0.024855289593249813,0.10844365837956174
255,4,7,1.019353508375214,1.291929811072213,1.2159157269568497
256,4,8,-1.4858216084752063,-0.12607839445976468,0.36418283430017484
257,4,9,0.05554875734709997,-0.03251647289177916,-0.09245791235806079
258,4,10,0.010496577954854303,0.011068889455855721,0.02357041019035321
259,4,11,0.287182916821019,0.6116056612362593,0.7396581053880967
260,4,12,0.614182730809314,0.5491882416295559,-0.13454541502453266
261,4,13,2.194208987125467,1.047525094819483,0.9799395119319363
262,4,14,0.8643100687283408,0.46863533174001476,0.19513981936528543
263,4,15,0.7680886632297634,0.6430978791046027,0.6703718076892073
264,4,16,0.740495248807655,0.29720929203623464,-0.28037920679360145
265,4,17,0.6718789708339382,0.5347239371903224,0.214458116656384
266,4,18,0.8255715223482424,0.6846076575127423,-0.08406908310108406
267,4,19,-1.4543315168079352,-0.10804245355748718,-0.40201303438277286
268,4,20,-0.06070862780130984,-0.2599002955300641,0.3583124755084585
269,4,21,-0.6266431884807003,-1.0440114488363592,-0.8792084702511748
270,4,22,-0.6929238742764957,-1.2876765093386286,-0.7001947841710628
271,4,23,0.5504896535032177,-0.24642065989714446,0.20573462481294377
272,4,24,0.25108685294572364,0.24513503442838963,0.17376685440829473
273,4,25,-0.5933062772500526,-0.44775291383196464,-0.5669558938035206
274,4,26,-1.9985657704170958,-0.713597768933829,-0.6695035627796959
275,4,27,-0.3474542403007321,-0.369820075632824,-0.4257093955164999
276,4,28,0.2576225565231266,0.029152237171486062,0.0651988602251473
277,4,29,0.0313397387776518,0.03064761972968897,0.06787016280353879
278,4,30,-0.030988653927711624,-0.09884620979927981,-0.1875973218035489
279,4,31,0.5331326082759382,0.35289863579848035,-0.20130565850203677
280,4,32,0.3598983370767274,-0.4905471962518966,-1.1781267758713423
281,4,33,-0.10996474606500847,-0.0318950641386734,-0.7597825600206966
282,4,34,0.4960581411953219,0.03256471915791833,-1.090186532321929
283,4,35,0.36510723761820135,-0.028214302573656196,-0.31125681658566934
284,4,36,0.5741197419972546,-0.11901668781093173,-0.9204002269973447
285,4,37,0.5238922866691422,0.015845062105516387,-0.9657916182825613
286,4,38,-0.12707007333515494,0.4298285954340576,-1.1721895225175194
287,4,39,0.22098951490426824,-0.2538900611694373,-0.4412949223805727
288,4,40,-0.03771978594036053,-0.4907840889412663,-0.5776566274691934
289,4,41,0.04694797592799129,0.18247883458909817,-0.4753005285671122
290,4,42,0.3071192179929889,0.5059332778753984,-0.834718498941937
291,4,43,0.3563249984414751,0.40862924777454734,-0.7280043594394064
292,4,44,-1.2204494886675634,0.2076555362356183,-0.5826221524279728
293,4,45,-0.6779402144159241,-0.6334848750933668,-0.749897123966818
294,4,46,-0.27342046292131217,0.9474748973331778,-1.1748273145322694
295,4,47,0.7731851064997914,0.043411171687893955,-0.7931526224968997
296,4,48,-0.24700011019414977,0.3638504804129486,-1.0965564782331731
297,4,49,-0.4223787037100415,-0.02734464458859412,-1.2523146859853955
298,4,50,-1.147919750823033,0.3901798220863315,-0.7023314790881481
299,4,51,0.48879847979060487,-0.29986665292797654,-1.114551872495796
300,4,52,-0.08437175851716733,-0.011970119964668896,-0.688737023320013
301,4,53,0.11572995754439379,-0.20801140411105065,-0.6921546751223715
302,4,54,-0.2531961495540164,-0.0013433538715132936,0.07795275848818628
303,4,55,-0.7071852935702765,0.048151027611019255,-1.0296937635760626
304,4,56,-0.09178472906716485,-0.4060302565070935,-1.111325004407734
305,4,57,0.14827451430093613,-0.42424963514553893,-1.433854161080314
306,4,58,0.61411979627534,-0.267228840651542,-0.49211002413078864
307,4,59,-0.7258461447400071,-0.08118201307682449,-0.19634775053596418
308,4,60,0.061515694811920686,-0.4540751191859815,-1.1008816008209015
309,4,61,-0.45767766022019685,-0.10458044475057171,-0.3674331888378168
