,channel_1,channel_2,alpha,beta,gamma
0,0,0,0.0,0.0,0.0
1,0,1,0.05997455405215475,0.25772650687325455,0.3451888700341729
2,0,2,-0.005208945150070267,0.14672767118909547,0.1892766215810716
3,0,3,-0.030860628754009852,0.20664325778830014,0.6827666368121571
4,0,4,0.6631335414299632,0.28354327086445175,0.08033499880243562
5,0,5,0.6245708873485509,-0.45484418870010723,-0.5037330229803012
6,0,6,0.28099951571880616,0.6383589748647598,0.05470027864119709
7,0,7,-0.4226620155568045,1.1884745323495685,1.1739638820622074
8,0,8,-0.9778499102298018,-1.279194606992943,-1.4579804776343723
9,0,9,1.2512751314826212,0.26208581389822283,0.007459773889765956
10,0,10,0.7722560320209538,0.15550674349960553,-0.05695218849355331
11,0,11,1.1059271463660207,0.19466982397545607,-0.02856945302995431
12,0,12,0.6425372646205927,0.3083986208272112,0.13622657227357318
13,0,13,0.13941641823621698,-1.2563913901052375,-1.210276817626047
14,0,14,-0.32148238108643845,-0.06680962317673368,-0.15461394819821472
15,0,15,-0.220673978317734,0.17680567447794435,0.0590591089103454
16,0,16,-0.2006640981269009,-0.007726657144082412,-0.06344647684491045
17,0,17,-0.10560431883891724,1.090774753895739,0.37911485057229544
18,0,18,-0.1549842419776356,-0.8537225943445306,-0.5907386276762283
19,0,19,-0.05923893465879711,-0.0395652305399033,-0.13097329074506375
20,0,20,-0.4157717363383188,-0.02292458571480365,-0.024280611320564093
21,0,21,-0.5231999872266678,-0.09961489878247885,-0.09788080589305288
22,0,22,-0.42085189638048626,-0.17245505120144752,-0.2964744504465853
23,0,23,-0.783918968025519,0.7770865240956687,0.09643659074834238
24,0,24,0.3232053335272785,-0.07377129694020372,-0.16765287735901435
25,0,25,-0.2282865834699715,-0.03910982253478419,0.017221589331456268
26,0,26,-0.2908817986657138,0.06557724305594605,0.1767403274666576
27,0,27,-0.4295922621817866,-0.1356701364160999,-0.2140026189175186
28,0,28,0.3008030415026073,-0.12459232797856752,-0.45500276597891653
29,0,29,0.2748490771495423,-0.025559147386551993,0.04326718592452855
30,0,30,0.16639767524661553,-0.11601220867161724,-0.15002972170340026
31,0,31,0.41447988263698027,0.22188151218953395,0.3173474320745909
32,0,32,0.5301969459278671,-0.13874804601758706,0.0320593292937667
33,0,33,0.6499258969216,0.43463204784906745,0.3362979863321163
34,0,34,0.9251157257368228,0.4977113641782974,0.09346679877750486
35,0,35,0.9127569425113723,0.44992780821733985,-0.47310448949761386
36,0,36,0.7693238985663768,-0.820233367840799,0.6197716928383019
37,0,37,0.8813242939413982,-1.0383225806780862,0.24136752359320665
38,0,38,0.1535419387517076,-0.4041444413505489,0.1003593156588471
39,0,39,1.3264956705715862,0.43175822671834013,0.16878140010550963
40,0,40,0.40031235673605325,0.2450504996386767,-0.15962630943064007
41,0,41,0.542427320495905,-0.11818368036328858,-0.07804698277647411
42,0,42,0.7296768867894624,-0.73945029964592,0.0959316617645756
43,0,43,0.9283761085975082,-0.06258094408590223,0.33487366114500644
44,0,44,-0.2863708358853475,-0.08306571838115179,-0.0962279509041893
45,0,45,-0.16259954086175935,0.40660581737088536,-0.32817243468463203
46,0,46,-0.005139779907453581,-0.3730483060409026,0.2751212941898392
47,0,47,-0.46578042414972926,0.10901070794851049,0.5400858840265952
48,0,48,0.32800028683483046,0.05366544168121598,-0.08028560268641283
49,0,49,0.3771323366650122,-0.3134921263561828,-0.22111789394968331
50,0,50,0.20225464844534694,-0.019883423385433762,-0.002672757821006305
51,0,51,1.262578756756418,-0.06695728644862911,-0.5226769550294103
52,0,52,0.25521235257825453,0.4638686813080675,0.13839474359121723
53,0,53,-0.2838807398959734,0.62433754363832,-0.46874852079198176
54,0,54,0.7755070533133603,-0.06031910417551424,-0.21355894155749006
55,0,55,-0.10109429737724641,-0.12602482564206735,0.1871139646010174
56,0,56,1.2023948594645588,-0.05762776653717582,0.39336454492556716
57,0,57,1.011377600145858,-0.40735420875320055,-0.5120923442930043
58,0,58,0.62317902223061,0.45261025003427013,-0.6875523993115238
59,0,59,0.19344017339050484,-0.07515537814329085,-0.21333161142135315
60,0,60,1.3632983064635067,0.1126842235020054,0.1497830185510237
61,0,61,0.7519530585533484,-0.3327804384578961,0.150376490483733
62,1,0,0.05997455405215475,0.25772650687325455,0.3451888700341729
63,1,1,0.0,0.0,0.0
64,1,2,-0.17960845051713162,0.023250866621602372,0.10215457761286968
65,1,3,0.1911003599821559,0.49870151049705946,0.7957630093315134
66,1,4,1.7547357688732326,0.4843327288697387,0.23606107118578623
67,1,5,-0.1523975570463487,-1.8531746693672666,-1.872168230285843
68,1,6,0.17921673134163305,0.9527003968312199,0.09739751817463282
69,1,7,-1.2721147912678255,-0.04497803544838432,-0.3002574178922184
70,1,8,-1.2135864098947011,0.4316431390606239,0.28645476678072807
71,1,9,0.7921820283254232,0.5220821888000444,0.19834907490077505
72,1,10,0.13810106517492446,0.24942841034346103,-0.039750841081527294
73,1,11,1.2879546384777583,0.20549609282649337,-0.03239684691789283
74,1,12,0.17438216313676805,0.03596284422082113,-0.22195725275267095
75,1,13,0.6330302159000689,-0.5461347594036914,-0.33842075595883225
76,1,14,-0.8143747245914672,-0.016892584966753242,-0.12328901433195186
77,1,15,-0.3537551014147573,0.21291262286143076,0.13056787610989293
78,1,16,-0.8238334748747308,-0.14097865408200483,-0.16665158932394167
79,1,17,1.0893814528705164,0.02119145128199049,-0.22319947286998837
80,1,18,-0.04788311107433248,-0.30744998645900035,0.0925847071489755
81,1,19,-0.17665447882946939,-0.06546728847742114,-0.23746641735018892
82,1,20,-0.5919629472112692,-0.05193390967094462,-0.07913795433847953
