,channel_1,channel_2,alpha,beta,gamma
0,0,0,0.0,0.0,0.0
1,0,1,-0.014914125380192987,0.0367513586535116,0.4134502173311949
2,0,2,-0.17895537390646332,-0.5386296936930606,-0.7459661621171985
3,0,3,-0.166019675881026,-0.6115135362983071,-0.9366703503939764
4,0,4,-0.18642803429546217,-0.46482468267307664,-0.2197713813269349
5,0,5,-0.05600876692131922,-0.3439762894090436,-0.9425654211684239
6,0,6,-0.1243813457990136,-0.33047384381059625,-0.475865970354164
7,0,7,-0.8557008861642494,-0.6841799233273667,-1.5371321962105553
8,0,8,-0.4943288677205425,-1.2960769370164698,-1.1578662386778262
9,0,9,-0.5557463324135171,-1.123962142471132,-1.3191071724607444
10,0,10,-0.17544179251600991,-0.6342381891376947,-0.912147588600726
11,0,11,-0.181254844426092,-0.7347307538620442,-1.5723326877970862
12,0,12,-0.23664323459522116,-0.6712324241699106,-0.3974439412851388
13,0,13,-0.0304970173420878,-0.5728091648221086,-1.6117292971382937
14,0,14,-1.1584687167620324,-1.0984348539897977,-0.7940428102692748
15,0,15,0.35818138043296677,-0.20922724934769923,0.2916279427998657
16,0,16,0.9177772824249129,-0.24794090868510066,-1.3690968030909336
17,0,17,-1.7116466867413516,-2.095795149896496,-0.4122421906549656
18,0,18,1.0227943298510382,-0.33144472756045534,-0.10649860538332495
19,0,19,-0.1179845344014521,-0.39089456839191533,-0.39315369178778325
20,0,20,-0.76846440810315,-0.4730756472144199,0.1799206216069502
21,0,21,-1.5965219021445158,-0.48218828295868527,0.0029278691658240173
22,0,22,-0.3236200132407571,-0.6395066922989434,-0.7502631823724429
23,0,23,-0.7195311816694865,-0.8534839723560701,0.7962509320627543
24,0,24,0.03637833602623719,-0.2650809939565967,-0.41039409237917523
25,0,25,-0.05857843177103006,-0.21805046599423827,-0.3562632766948884
26,0,26,-0.07135835536200336,-0.1999210443239327,-0.2846041365061294
27,0,27,-0.12237424071430933,-0.2188617754935417,-0.3642526992280272
28,0,28,0.007488095865493976,-0.20230422153949648,0.07526877685048546
29,0,29,-0.02376298342329688,-0.16476426697951024,-0.2748047302931555
30,0,30,-0.06861778636100974,-0.35481101181911434,-0.6462354228476281
31,0,31,-0.2120210140130511,-0.30301304787532435,-0.5229696805354392
32,0,32,-0.06003908937448354,-0.32608199969803464,-0.3766258383986118
33,0,33,-0.15859384257564732,0.22235516248409526,0.32949656949203354
34,0,34,-0.02414320291270705,0.009292041950365487,0.3424815995505418
35,0,35,-0.9476444876276457,-0.09307283567212125,-0.37696555750364347
36,0,36,-0.07519757890329926,-0.12311065041821326,0.3823795643617323
